Kalenderår;Kod;Benämning;Omfattning;Enhet;Nivå inom studieordning;Kvinnor;Män;Total
"2017";"MM8018";"Enumerativ kombinatorik";"7,5";"HP";"Avancerad nivå";"0,375";"0,125";"0,5"
"2019";"MM8018";"Enumerativ kombinatorik";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2021";"MM8018";"Enumerativ kombinatorik";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2017";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0,5";"3,125";"3,625"
"2018";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0,75";"3,625";"4,375"
"2019";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0,5";"0,625";"1,125"
"2017";"MM8020";"Homologisk algebra och algebraisk topologi";"7,5";"HP";"Avancerad nivå";"0";"0,875";"0,875"
"2018";"MM8021";"Representationsteori för ändliga grupper";"7,5";"HP";"Avancerad nivå";"0,25";"1,875";"2,125"
"2020";"MM8021";"Representationsteori för ändliga grupper";"7,5";"HP";"Avancerad nivå";"0,125";"1,0";"1,125"
"2017";"MM8022";"Differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2019";"MM8022";"Differentialgeometri";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2021";"MM8022";"Differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,125";"0,125";"0,25"
"2017";"MM8025";"Avancerad linjär algebra";"7,5";"HP";"Avancerad nivå";"0,25";"1,0";"1,25"
"2018";"MM8027";"Mängdteori och forcing";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2017";"MM8028";"Metamatematik och bevisteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2017";"MM8031";"Valda ämnen i matematik - algebra";"7,5";"HP";"Avancerad nivå";"0,125";"2,625";"2,75"
"2017";"MM8035";"Valda ämnen i matematik - matematisk logik";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2019";"MM8035";"Valda ämnen i matematik - matematisk logik";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2020";"MM8036";"Typteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2017";"MM8037";"Avancerad reell analys I";"7,5";"HP";"Avancerad nivå";"0,25";"1,25";"1,5"
"2018";"MM8037";"Avancerad reell analys I";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2019";"MM8037";"Avancerad reell analys I";"7,5";"HP";"Avancerad nivå";"0,25";"0,125";"0,375"
"2020";"MM8037";"Avancerad reell analys I";"7,5";"HP";"Avancerad nivå";"0";"0,75";"0,75"
"2021";"MM8037";"Avancerad reell analys I";"7,5";"HP";"Avancerad nivå";"0";"0,375";"0,375"
"2017";"MM8039";"Avancerad reell analys II";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2019";"MM8039";"Avancerad reell analys II";"7,5";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2021";"MM8039";"Avancerad reell analys II";"7,5";"HP";"Avancerad nivå";"0,125";"0,875";"1,0"
"2018";"MM8040";"Funktionsteori i flera komplexa variabler";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2019";"MM8040";"Funktionsteori i flera komplexa variabler";"7,5";"HP";"Avancerad nivå";"0";"0,75";"0,75"
"2021";"MM8040";"Funktionsteori i flera komplexa variabler";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2020";"MM8042";"Algebraisk topologi";"7,5";"HP";"Avancerad nivå";"0,125";"1,25";"1,375"
"2019";"MM8043";"Reduktiva algebraiska grupper";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2020";"MM9001";"Matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2019";"MM9003";"Tillämpad matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2017";"MM9007";"Matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"5,0";"5,5"
"2018";"MM9007";"Matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"4,0";"4,5"
"2019";"MM9007";"Matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"2,5";"3,0"
"2020";"MM9007";"Matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"3,0";"3,5"
"2021";"MM9007";"Matematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"5,5";"6,0"
"2017";"MML401";"Linjär algebra för lärare, fortsättningskurs";"7,5";"HP";"Grundnivå";"0,125";"0";"0,125"
"2017";"MML402";"Algebra och kombinatorik för lärare, fortsättningskurs";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2017";"MMU304";"Matematik I - kurs inom VAL-projektet";"30,0";"HP";"Grundnivå";"0";"0,3";"0,3"
"2018";"MMU304";"Matematik I - kurs inom VAL-projektet";"30,0";"HP";"Grundnivå";"0,025";"0,25";"0,275"
"2019";"MMU304";"Matematik I - kurs inom VAL-projektet";"30,0";"HP";"Grundnivå";"0,025";"0,425";"0,45"
"2020";"MMU304";"Matematik I - kurs inom VAL-projektet";"30,0";"HP";"Grundnivå";"0";"0,275";"0,275"
"2021";"MMU304";"Matematik I - kurs inom VAL-projektet";"30,0";"HP";"Grundnivå";"0,25";"0,425";"0,675"
"2017";"MMU305";"Matematik I - kurs inom ULV-projektet";"30,0";"HP";"Grundnivå";"0,25";"1,125";"1,375"
"2018";"MMU305";"Matematik I - kurs inom ULV-projektet";"30,0";"HP";"Grundnivå";"0,2";"0";"0,2"
"2019";"MMU305";"Matematik I - kurs inom ULV-projektet";"30,0";"HP";"Grundnivå";"0,25";"0";"0,25"
"2020";"MMU305";"Matematik I - kurs inom ULV-projektet";"30,0";"HP";"Grundnivå";"1,725";"0,25";"1,975"
"2021";"MMU305";"Matematik I - kurs inom ULV-projektet";"30,0";"HP";"Grundnivå";"1,35";"0";"1,35"
"2017";"MT1011";"Sannolikhetslära och statistik för lärare";"7,5";"HP";"Grundnivå";"1,375";"2,375";"3,75"
"2018";"MT1011";"Sannolikhetslära och statistik för lärare";"7,5";"HP";"Grundnivå";"1,5";"1,75";"3,25"
"2019";"MT1011";"Sannolikhetslära och statistik för lärare";"7,5";"HP";"Grundnivå";"1,5";"2,625";"4,125"
"2020";"MT1011";"Sannolikhetslära och statistik för lärare";"7,5";"HP";"Grundnivå";"2,75";"2,625";"5,375"
"2021";"MT1011";"Sannolikhetslära och statistik för lärare";"7,5";"HP";"Grundnivå";"3,25";"2,125";"5,375"
"2018";"MT102U";"Sannolikhetslära och statistik för lärare - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,25";"0,375"
"2019";"MT102U";"Sannolikhetslära och statistik för lärare - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0";"0,125"
"2021";"MT102U";"Sannolikhetslära och statistik för lärare - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,625";"0,125";"0,75"
"2019";"MT103U";"Sannolikhetslära och statistik för lärare - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2021";"MT103U";"Sannolikhetslära och statistik för lärare - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,375";"0";"0,375"
"2017";"MT3001";"Sannolikhetsteori I";"7,5";"HP";"Grundnivå";"2,35";"6,5";"8,85"
"2018";"MT3001";"Sannolikhetsteori I";"7,5";"HP";"Grundnivå";"2,525";"5,5";"8,025"
"2019";"MT3001";"Sannolikhetsteori I";"7,5";"HP";"Grundnivå";"1,875";"7,225";"9,1"
"2020";"MT3001";"Sannolikhetsteori I";"7,5";"HP";"Grundnivå";"2,975";"8,15";"11,125"
"2021";"MT3001";"Sannolikhetsteori I";"7,5";"HP";"Grundnivå";"1,95";"6,375";"8,325"
"2020";"MT3002";"Matematiska och statistiska metoder för spridning av smittsamma sjukdomar";"7,5";"HP";"Grundnivå";"1,55";"2,43333";"3,98333"
"2021";"MT3003";"Introduktion till databehandling";"7,5";"HP";"Grundnivå";"0,45";"1,575";"2,025"
"2017";"MT4001";"Statistisk analys";"7,5";"HP";"Grundnivå";"2,675";"4,95";"7,625"
"2018";"MT4001";"Statistisk analys";"7,5";"HP";"Grundnivå";"1,525";"4,775";"6,3"
"2019";"MT4001";"Statistisk analys";"7,5";"HP";"Grundnivå";"1,35";"4,25";"5,6"
"2020";"MT4001";"Statistisk analys";"7,5";"HP";"Grundnivå";"1,725";"4,6";"6,325"
"2021";"MT4001";"Statistisk analys";"7,5";"HP";"Grundnivå";"1,4";"5,2";"6,6"
"2017";"MT4002";"Stokastiska processer och simulering I";"7,5";"HP";"Grundnivå";"2,275";"4,5";"6,775"
"2018";"MT4002";"Stokastiska processer och simulering I";"7,5";"HP";"Grundnivå";"1,775";"4,225";"6,0"
"2019";"MT4002";"Stokastiska processer och simulering I";"7,5";"HP";"Grundnivå";"1,375";"4,85";"6,225"
"2020";"MT4002";"Stokastiska processer och simulering I";"7,5";"HP";"Grundnivå";"1,25";"4,475";"5,725"
"2021";"MT4002";"Stokastiska processer och simulering I";"7,5";"HP";"Grundnivå";"1,95";"5,275";"7,225"
"2020";"MT4003";"Tillämpad statistisk analys";"7,5";"HP";"Grundnivå";"0";"0,025";"0,025"
"2017";"MT4004";"Ekonometri";"7,5";"HP";"Grundnivå";"0,725";"0,65";"1,375"
"2018";"MT4004";"Ekonometri";"7,5";"HP";"Grundnivå";"0,05";"0,025";"0,075"
"2020";"MT4004";"Ekonometri";"7,5";"HP";"Grundnivå";"0";"0,025";"0,025"
"2021";"MT4006";"Tidsserieanalys, diplomeringskurs för aktuarier";"1,5";"HP";"Grundnivå";"0,025";"0,05";"0,075"
"2021";"MT4007";"Statistisk databehandling";"7,5";"HP";"Grundnivå";"0,275";"0,7";"0,975"
"2021";"MT401U";"Sannolikhetsteori I - kurs inom VAL";"7,5";"HP";"Grundnivå";"0,125";"0";"0,125"
"2017";"MT5001";"Linjära statistiska modeller";"7,5";"HP";"Grundnivå";"3,05833";"3,84167";"6,9"
"2018";"MT5001";"Linjära statistiska modeller";"7,5";"HP";"Grundnivå";"1,00833";"2,875";"3,88333"
"2019";"MT5001";"Linjära statistiska modeller";"7,5";"HP";"Grundnivå";"1,25";"2,86667";"4,11667"
"2020";"MT5001";"Linjära statistiska modeller";"7,5";"HP";"Grundnivå";"1,0";"3,38333";"4,38333"
"2021";"MT5001";"Linjära statistiska modeller";"7,5";"HP";"Grundnivå";"0,55833";"1,85833";"2,41667"
"2017";"MT5002";"Sannolikhetsteori II";"7,5";"HP";"Grundnivå";"1,5";"2,75";"4,25"
"2018";"MT5002";"Sannolikhetsteori II";"7,5";"HP";"Grundnivå";"1,625";"2,875";"4,5"
"2019";"MT5002";"Sannolikhetsteori II";"7,5";"HP";"Grundnivå";"1,0";"3,875";"4,875"
"2020";"MT5002";"Sannolikhetsteori II";"7,5";"HP";"Grundnivå";"1,625";"4,375";"6,0"
"2021";"MT5002";"Sannolikhetsteori II";"7,5";"HP";"Grundnivå";"1,375";"3,75";"5,125"
"2017";"MT5003";"Statistisk inferensteori";"7,5";"HP";"Grundnivå";"1,85";"1,825";"3,675"
"2018";"MT5003";"Statistisk inferensteori";"7,5";"HP";"Grundnivå";"1,775";"4,15";"5,925"
"2019";"MT5003";"Statistisk inferensteori";"7,5";"HP";"Grundnivå";"1,225";"2,6";"3,825"
"2020";"MT5003";"Statistisk inferensteori";"7,5";"HP";"Grundnivå";"1,25";"3,5";"4,75"
"2021";"MT5003";"Statistisk inferensteori";"7,5";"HP";"Grundnivå";"0,775";"2,3";"3,075"
"2017";"MT5004";"Stokastiska processer och simulering II";"7,5";"HP";"Grundnivå";"0,375";"1,375";"1,75"
"2018";"MT5004";"Stokastiska processer och simulering II";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2017";"MT5006";"Analys av kategoridata";"7,5";"HP";"Grundnivå";"1,11667";"1,11667";"2,23333"
"2018";"MT5006";"Analys av kategoridata";"7,5";"HP";"Grundnivå";"1,06667";"1,375";"2,44167"
"2019";"MT5006";"Analys av kategoridata";"7,5";"HP";"Grundnivå";"1,18333";"2,14167";"3,325"
"2020";"MT5006";"Analys av kategoridata";"7,5";"HP";"Grundnivå";"0,36667";"2,0";"2,36667"
"2021";"MT5006";"Analys av kategoridata";"7,5";"HP";"Grundnivå";"0,19167";"1,0";"1,19167"
"2017";"MT5009";"Grundläggande finansmatematik";"7,5";"HP";"Grundnivå";"1,025";"1,3";"2,325"
"2018";"MT5009";"Grundläggande finansmatematik";"7,5";"HP";"Grundnivå";"0,5";"0,2";"0,7"
"2019";"MT5009";"Grundläggande finansmatematik";"7,5";"HP";"Grundnivå";"0,6";"2,375";"2,975"
"2020";"MT5009";"Grundläggande finansmatematik";"7,5";"HP";"Grundnivå";"2,05";"3,075";"5,125"
"2021";"MT5009";"Grundläggande finansmatematik";"7,5";"HP";"Grundnivå";"0,2";"3,025";"3,225"
"2018";"MT5011";"Grundläggande försäkringsmatematik";"7,5";"HP";"Grundnivå";"1,25";"2,06667";"3,31667"
"2019";"MT5011";"Grundläggande försäkringsmatematik";"7,5";"HP";"Grundnivå";"0,63333";"1,25";"1,88333"
"2020";"MT5011";"Grundläggande försäkringsmatematik";"7,5";"HP";"Grundnivå";"1,05833";"2,76667";"3,825"
"2021";"MT5011";"Grundläggande försäkringsmatematik";"7,5";"HP";"Grundnivå";"0,19167";"1,375";"1,56667"
"2018";"MT5012";"Stokastiska processer och simulering II";"7,5";"HP";"Grundnivå";"0,275";"1,25";"1,525"
"2019";"MT5012";"Stokastiska processer och simulering II";"7,5";"HP";"Grundnivå";"0,95";"0,9";"1,85"
"2020";"MT5012";"Stokastiska processer och simulering II";"7,5";"HP";"Grundnivå";"0,475";"2,15";"2,625"
"2021";"MT5012";"Stokastiska processer och simulering II";"7,5";"HP";"Grundnivå";"0,4";"0,75";"1,15"
"2018";"MT5013";"Statistisk databehandling";"7,5";"HP";"Grundnivå";"1,375";"2,775";"4,15"
"2019";"MT5013";"Statistisk databehandling";"7,5";"HP";"Grundnivå";"1,35";"1,875";"3,225"
"2020";"MT5013";"Statistisk databehandling";"7,5";"HP";"Grundnivå";"1,175";"2,775";"3,95"
"2021";"MT5013";"Statistisk databehandling";"7,5";"HP";"Grundnivå";"0,4";"2,35";"2,75"
"2019";"MT5014";"Ekonometriska metoder";"7,5";"HP";"Grundnivå";"0";"0,975";"0,975"
"2020";"MT5014";"Ekonometriska metoder";"7,5";"HP";"Grundnivå";"0,25";"0,775";"1,025"
"2021";"MT5014";"Ekonometriska metoder";"7,5";"HP";"Grundnivå";"0,375";"1,475";"1,85"
"2017";"MT6001";"Matematisk statistik, självständigt arbete";"15,0";"HP";"Grundnivå";"3,225";"2,775";"6,0"
"2018";"MT6001";"Matematisk statistik, självständigt arbete";"15,0";"HP";"Grundnivå";"2,2";"3,3";"5,5"
"2019";"MT6001";"Matematisk statistik, självständigt arbete";"15,0";"HP";"Grundnivå";"2,5";"4,45";"6,95"
"2020";"MT6001";"Matematisk statistik, självständigt arbete";"15,0";"HP";"Grundnivå";"2,2";"2,975";"5,175"
"2021";"MT6001";"Matematisk statistik, självständigt arbete";"15,0";"HP";"Grundnivå";"1,8";"3,125";"4,925"
"2021";"MT6010";"Matematisk statistik, självständigt arbete";"15,0";"HP";"Grundnivå";"0";"0,5";"0,5"
"2017";"MT7001";"Sannolikhetsteori III";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2018";"MT7001";"Sannolikhetsteori III";"7,5";"HP";"Avancerad nivå";"0,875";"1,125";"2,0"
"2019";"MT7001";"Sannolikhetsteori III";"7,5";"HP";"Avancerad nivå";"0,625";"1,25";"1,875"
"2020";"MT7001";"Sannolikhetsteori III";"7,5";"HP";"Avancerad nivå";"0,5";"1,25";"1,75"
"2021";"MT7001";"Sannolikhetsteori III";"7,5";"HP";"Avancerad nivå";"0,75";"1,125";"1,875"
"2017";"MT7002";"Statistiska modeller";"7,5";"HP";"Avancerad nivå";"0,25";"1,0";"1,25"
"2018";"MT7002";"Statistiska modeller";"7,5";"HP";"Avancerad nivå";"0,875";"0,5";"1,375"
"2019";"MT7002";"Statistiska modeller";"7,5";"HP";"Avancerad nivå";"0,875";"1,0";"1,875"
"2020";"MT7002";"Statistiska modeller";"7,5";"HP";"Avancerad nivå";"0,5";"1,5";"2,0"
"2021";"MT7002";"Statistiska modeller";"7,5";"HP";"Avancerad nivå";"0,375";"1,0";"1,375"
"2017";"MT7003";"Bayesianska metoder";"7,5";"HP";"Avancerad nivå";"0,25";"1,375";"1,625"
"2019";"MT7003";"Bayesianska metoder";"7,5";"HP";"Avancerad nivå";"1,375";"1,25";"2,625"
"2020";"MT7003";"Bayesianska metoder";"7,5";"HP";"Avancerad nivå";"0,125";"0,125";"0,25"
"2021";"MT7003";"Bayesianska metoder";"7,5";"HP";"Avancerad nivå";"0,5";"1,75";"2,25"
"2018";"MT7006";"Överlevnadsanalys";"7,5";"HP";"Avancerad nivå";"1,725";"1,425";"3,15"
"2020";"MT7006";"Överlevnadsanalys";"7,5";"HP";"Avancerad nivå";"0,75";"2,8";"3,55"
"2017";"MT7010";"Fördjupning i finansmatematik";"7,5";"HP";"Avancerad nivå";"0,09167";"0";"0,09167"
"2020";"MT7010";"Fördjupning i finansmatematik";"7,5";"HP";"Avancerad nivå";"0,03333";"0";"0,03333"
"2017";"MT7012";"Livförsäkringsmatematik I";"7,5";"HP";"Avancerad nivå";"2,075";"1,75";"3,825"
"2018";"MT7012";"Livförsäkringsmatematik I";"7,5";"HP";"Avancerad nivå";"0,6";"1,125";"1,725"
"2019";"MT7012";"Livförsäkringsmatematik I";"7,5";"HP";"Avancerad nivå";"0,5";"1,725";"2,225"
"2020";"MT7012";"Livförsäkringsmatematik I";"7,5";"HP";"Avancerad nivå";"0,725";"2,25";"2,975"
"2017";"MT7015";"Försäkringsredovisning";"7,5";"HP";"Avancerad nivå";"0";"0,025";"0,025"
"2017";"MT7016";"Nationalekonomi för aktuarier";"7,5";"HP";"Avancerad nivå";"1,75";"2,0";"3,75"
"2019";"MT7016";"Nationalekonomi för aktuarier";"7,5";"HP";"Avancerad nivå";"1,125";"1,875";"3,0"
"2021";"MT7016";"Nationalekonomi för aktuarier";"7,5";"HP";"Avancerad nivå";"0,625";"2,125";"2,75"
"2017";"MT7017";"Försäkringsjuridik för aktuarier I";"7,5";"HP";"Avancerad nivå";"2,375";"5,0";"7,375"
"2019";"MT7017";"Försäkringsjuridik för aktuarier I";"7,5";"HP";"Avancerad nivå";"2,75";"2,5";"5,25"
"2021";"MT7017";"Försäkringsjuridik för aktuarier I";"7,5";"HP";"Avancerad nivå";"1,125";"2,75";"3,875"
"2018";"MT7018";"Försäkringsjuridik för aktuarier II";"7,5";"HP";"Avancerad nivå";"2,75";"2,75";"5,5"
"2020";"MT7018";"Försäkringsjuridik för aktuarier II";"7,5";"HP";"Avancerad nivå";"2,0";"2,25";"4,25"
"2017";"MT7023";"Stokastiska processer III";"7,5";"HP";"Avancerad nivå";"0,25";"0,75";"1,0"
"2018";"MT7023";"Stokastiska processer III";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2019";"MT7023";"Stokastiska processer III";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2020";"MT7023";"Stokastiska processer III";"7,5";"HP";"Avancerad nivå";"0,125";"0,25";"0,375"
"2021";"MT7023";"Stokastiska processer III";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2018";"MT7024";"Beräkningsintensiva statistiska metoder";"7,5";"HP";"Avancerad nivå";"1,75";"2,25";"4,0"
"2020";"MT7024";"Beräkningsintensiva statistiska metoder";"7,5";"HP";"Avancerad nivå";"1,5";"1,375";"2,875"
"2017";"MT7027";"Riskmodeller och reservsättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"1,23333";"1,725";"2,95833"
"2018";"MT7027";"Riskmodeller och reservsättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"1,05833";"1,125";"2,18333"
"2019";"MT7027";"Riskmodeller och reservsättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"0,93333";"1,14167";"2,075"
"2020";"MT7027";"Riskmodeller och reservsättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"0,44167";"2,5";"2,94167"
"2021";"MT7027";"Riskmodeller och reservsättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"0,36667";"1,73333";"2,1"
"2017";"MT7028";"Prissättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"1,68333";"3,34167";"5,025"
"2018";"MT7028";"Prissättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"0,86667";"0,93333";"1,8"
"2019";"MT7028";"Prissättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"1,51667";"1,125";"2,64167"
"2020";"MT7028";"Prissättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"0";"0,11667";"0,11667"
"2021";"MT7028";"Prissättning inom sakförsäkring";"7,5";"HP";"Avancerad nivå";"0,81667";"4,05";"4,86667"
"2019";"MT7031";"Valda ämnen i sannolikhetsteori och stokastiska processer";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MT7031";"Valda ämnen i sannolikhetsteori och stokastiska processer";"7,5";"HP";"Avancerad nivå";"0,5";"1,375";"1,875"
"2021";"MT7031";"Valda ämnen i sannolikhetsteori och stokastiska processer";"7,5";"HP";"Avancerad nivå";"0,125";"0";"0,125"
"2017";"MT7033";"Finansiell ekonometri";"7,5";"HP";"Avancerad nivå";"0,725";"1,75";"2,475"
"2018";"MT7033";"Finansiell ekonometri";"7,5";"HP";"Avancerad nivå";"0";"0,025";"0,025"
"2021";"MT7033";"Finansiell ekonometri";"7,5";"HP";"Avancerad nivå";"0";"0,025";"0,025"
"2017";"MT7035";"Försäkringsredovisning";"7,5";"HP";"Avancerad nivå";"1,5";"1,625";"3,125"
"2018";"MT7035";"Försäkringsredovisning";"7,5";"HP";"Avancerad nivå";"1,25";"1,625";"2,875"
"2019";"MT7035";"Försäkringsredovisning";"7,5";"HP";"Avancerad nivå";"0,875";"1,25";"2,125"
"2020";"MT7035";"Försäkringsredovisning";"7,5";"HP";"Avancerad nivå";"0,5";"1,875";"2,375"
"2021";"MT7035";"Försäkringsredovisning";"7,5";"HP";"Avancerad nivå";"0,625";"1,5";"2,125"
"2018";"MT7037";"Statistisk informationsteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2019";"MT7037";"Statistisk informationsteori";"7,5";"HP";"Avancerad nivå";"0,75";"1,125";"1,875"
"2020";"MT7037";"Statistisk informationsteori";"7,5";"HP";"Avancerad nivå";"0,75";"1,125";"1,875"
"2021";"MT7037";"Statistisk informationsteori";"7,5";"HP";"Avancerad nivå";"0,625";"1,125";"1,75"
"2019";"MT7038";"Statistisk inlärning";"7,5";"HP";"Avancerad nivå";"0,375";"0,5";"0,875"
"2020";"MT7038";"Statistisk inlärning";"7,5";"HP";"Avancerad nivå";"0,875";"1,30833";"2,18333"
"2021";"MT7038";"Statistisk inlärning";"7,5";"HP";"Avancerad nivå";"0,375";"1,875";"2,25"
"2021";"MT7039";"Statistisk oövervakad inlärning";"7,5";"HP";"Avancerad nivå";"0,25";"0,75";"1,0"
"2021";"MT7041";"Markovkedjor och blandningstider";"7,5";"HP";"Avancerad nivå";"0,25";"0,375";"0,625"
"2017";"MT8001";"Statistisk konsultmetodik";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2018";"MT8001";"Statistisk konsultmetodik";"7,5";"HP";"Avancerad nivå";"0,125";"0,25";"0,375"
"2019";"MT8001";"Statistisk konsultmetodik";"7,5";"HP";"Avancerad nivå";"0,375";"0,25";"0,625"
"2020";"MT8001";"Statistisk konsultmetodik";"7,5";"HP";"Avancerad nivå";"0,625";"0,125";"0,75"
"2021";"MT8001";"Statistisk konsultmetodik";"7,5";"HP";"Avancerad nivå";"0,125";"0";"0,125"
"2017";"MT8003";"Livförsäkringsmatematik II";"7,5";"HP";"Avancerad nivå";"1,05";"1,5";"2,55"
"2018";"MT8003";"Livförsäkringsmatematik II";"7,5";"HP";"Avancerad nivå";"1,45";"1,875";"3,325"
"2019";"MT8003";"Livförsäkringsmatematik II";"7,5";"HP";"Avancerad nivå";"0,45";"1,05";"1,5"
"2020";"MT8003";"Livförsäkringsmatematik II";"7,5";"HP";"Avancerad nivå";"0,925";"1,075";"2,0"
"2021";"MT8003";"Livförsäkringsmatematik II";"7,5";"HP";"Avancerad nivå";"0";"0,05";"0,05"
"2017";"MT9001";"Matematisk statistik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"2,0";"2,5"
"2018";"MT9001";"Matematisk statistik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0";"1,0";"1,0"
"2019";"MT9001";"Matematisk statistik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"0";"0,5"
"2020";"MT9001";"Matematisk statistik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"1,0";"1,5"
"2017";"MT9007";"Försäkringsmatematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"2,0";"2,0";"4,0"
"2018";"MT9007";"Försäkringsmatematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"0";"0,5"
"2019";"MT9007";"Försäkringsmatematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"2,0";"0";"2,0"
"2019";"MT9012";"Försäkringsmatematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"1,0";"2,0";"3,0"
"2020";"MT9012";"Försäkringsmatematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"1,0";"1,0";"2,0"
"2021";"MT9012";"Försäkringsmatematik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"0,5";"2,5";"3,0"
"2020";"MT9013";"Matematisk statistik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"1,5";"1,0";"2,5"
"2021";"MT9013";"Matematisk statistik, självständigt arbete";"30,0";"HP";"Avancerad nivå";"2,5";"4,0";"6,5"
